
変数情報		
変数	位置	ラベル
c2rsad12	1155	w4-問２０．健在の２番目の１８歳以上のお子さん（ス）この１年間に、この方に相談にのってもらうことはありましたか
c2rshe12	1156	w4-問２０．健在の２番目の１８歳以上のお子さん（セ）この１年間に、この方に看病や家事などの手伝いをしてもらうことはありましたか
c2psmo12	1157	w4-問２０．健在の２番目の１８歳以上のお子さん（ソ）この１年間に、この方に金銭的な援助をしましたか
c2psad12	1158	w4-問２０．健在の２番目の１８歳以上のお子さん（タ）この１年間に、この方の相談相手になることはありましたか
c2pshe12	1159	w4-問２０．健在の２番目の１８歳以上のお子さん（チ）この１年間に、この方の看病や家事・育児などの手伝いをしたことはありましたか
c3sex12	1160	w4-問２０．健在の３番目のお子さん（ア）性別
c3plc12	1161	w4-問２０．健在の３番目のお子さん（イ）居住場所
c3play12	1162	w4-問２０．健在の３番目のお子さん（ウ）ふだん、この方と一緒に遊ぶことは、どのくらいありますか
c3tch12	1163	w4-問２０．健在の３番目のお子さん（エ）ふだん、この方に知識や技能を教えることはありますか
c3dnr12	1164	w4-問２０．健在の３番目のお子さん（オ）ふだん、この方と一緒に夕食をとることはありますか
c3age12	1165	w4-問２０．健在の３番目のお子さん（カ）この方の年齢は何歳ですか
c3lt1812	1166	w4-問２０．健在の３番目のお子さん（キ）この方は１８歳未満ですか、１８歳以上ですか
c3hvjb12	1167	w4-問２０．健在の３番目の１８歳以上のお子さん（ク）仕事の有無
c3mrst12	1168	w4-問２０．健在の３番目の１８歳以上のお子さん（ケ）結婚
c3cnot12	1169	w4-問２０．健在の３番上の１８歳以上のお子さん（コ）子供の有無（いない）
c3cl0512	1170	w4-問２０．健在の３番上の１８歳以上のお子さん（コ）子供の有無（0-5歳）
c3cl1712	1171	w4-問２０．健在の３番上の１８歳以上のお子さん（コ）子供の有無（6-17歳）
c3cg1812	1172	w4-問２０．健在の３番上の１８歳以上のお子さん（コ）子供の有無（18歳以上）
c3cvy12	1173	w4-問２０．健在の３番目の１８歳以上のお子さん（サ）この１年間に、この方と「話らしい話」をどのくらいしましたか
c3rsmo12	1174	w4-問２０．健在の３番目の１８歳以上のお子さん（シ）この１年間に、この方から金銭的な援助を受けましたか
c3rsad12	1175	w4-問２０．健在の３番目の１８歳以上のお子さん（ス）この１年間に、この方に相談にのってもらうことはありましたか
c3rshe12	1176	w4-問２０．健在の３番目の１８歳以上のお子さん（セ）この１年間に、この方に看病や家事などの手伝いをしてもらうことはありましたか
c3psmo12	1177	w4-問２０．健在の３番目の１８歳以上のお子さん（ソ）この１年間に、この方に金銭的な援助をしましたか
c3psad12	1178	w4-問２０．健在の３番目の１８歳以上のお子さん（タ）この１年間に、この方の相談相手になることはありましたか
c3pshe12	1179	w4-問２０．健在の３番目の１８歳以上のお子さん（チ）この１年間に、この方の看病や家事・育児などの手伝いをしたことはありましたか
fahlth12	1180	w4-問２１．あなたのお父さんの健康状態
mahlth12	1181	w4-問２１．あなたのお母さんの健康状態
flhlth12	1182	w4-問２１．配偶者のお父さんの健康状態
mlhlth12	1183	w4-問２１．配偶者のお母さんの健康状態
hhnlw12	1184	w4-問２２．同居人数
hhlwrp12	1185	w4-問２３．同居者（自分自身）
hhlwsp12	1186	w4-問２３．同居者（自分の配偶者）
hhlwch12	1187	w4-問２３．同居者（自分の子ども）
hhlwfa12	1188	w4-問２３．同居者（自分の父親）
hhlwma12	1189	w4-問２３．同居者（自分の母親）
hhlwfl12	1190	w4-問２３．同居者（自分の義父）
hhlwml12	1191	w4-問２３．同居者（自分の義母）
hhlwgp12	1192	w4-問２３．同居者（自分の祖父母）
hhlwgl12	1193	w4-問２３．同居者（配偶者の祖父母）
hhlwsb12	1194	w4-問２３．同居者（自分の兄弟姉妹）
hhlwsl12	1195	w4-問２３．同居者（配偶者の兄弟姉妹）
hhlwcs12	1196	w4-問２３．同居者（自分の子どもの配偶者）
hhlwgc12	1197	w4-問２３．同居者（自分の孫）
hhlwo12	1198	w4-問２３．同居者（その他）
rpcasp12	1199	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（配偶者）
rpcapa12	1200	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（自分の親）
rpcasb12	1201	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（自分の兄弟姉妹）
rpcach12	1202	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（自分の子ども）
rpcapl12	1203	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（配偶者の親）
rpcasl12	1204	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（配偶者の兄弟姉妹）
rpcacs12	1205	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（子どもの配偶者）
rpcaor12	1206	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（その他の親族）
rpcafc12	1207	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（友人や職場の同僚）
rpcanb12	1208	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（近所の人）
rpcast12	1209	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（専門家やサービス機関）
rpcant12	1210	w4-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（誰もいない）
rpcmsp12	1211	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（配偶者）
rpcmpa12	1212	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（自分の親）
rpcmsb12	1213	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（自分の兄弟姉妹）
rpcmch12	1214	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（自分の子ども）
rpcmpl12	1215	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（配偶者の親）
rpcmsl12	1216	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（配偶者の兄弟姉妹）
rpcmcs12	1217	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（子どもの配偶者）
rpcmor12	1218	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（その他の親族）
rpcmfc12	1219	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（友人や職場の同僚）
rpcmnb12	1220	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（近所の人）
rpcmst12	1221	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（専門家やサービス機関）
rpcmnt12	1222	w4-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（誰もいない）
rpchsp12	1223	w4-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（配偶者）
rpchpa12	1224	w4-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（自分の親）
rpchsb12	1225	w4-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（自分の兄弟姉妹）
rpchch12	1226	w4-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（自分の子ども）
rpchpl12	1227	w4-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（配偶者の親）
rpchsl12	1228	w4-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（配偶者の兄弟姉妹）
rpchcs12	1229	w4-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（子どもの配偶者）
rpchor12	1230	w4-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（その他の親族）
rpchfc12	1231	w4-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（友人や職場の同僚）
rpchnb12	1232	w4-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（近所の人）
rpchst12	1233	w4-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（専門家やサービス機関）
